00  :  03  ->  Nothing
03  :  08  ->  Left
08  :  10  ->  Relaxed
10  :  13  ->  Nothing
13  :  18  ->  Right
18  :  20  ->  Relaxed
20  :  23  ->  Nothing
23  :  28  ->  Right
28  :  30  ->  Relaxed
30  :  33  ->  Nothing
33  :  38  ->  Right
38  :  40  ->  Relaxed
40  :  43  ->  Nothing
43  :  48  ->  Left
48  :  50  ->  Relaxed
50  :  53  ->  Nothing
53  :  58  ->  Right
58  :  60  ->  Relaxed
60  :  63  ->  Nothing
63  :  68  ->  Left
68  :  70  ->  Relaxed
70  :  73  ->  Nothing
73  :  78  ->  Left
78  :  80  ->  Relaxed
80  :  83  ->  Nothing
83  :  88  ->  Right
88  :  90  ->  Relaxed
90  :  93  ->  Nothing
93  :  98  ->  Right
98  :  100  ->  Relaxed
100  :  103  ->  Nothing
103  :  108  ->  Left
108  :  110  ->  Relaxed
110  :  113  ->  Nothing
113  :  118  ->  Right
118  :  120  ->  Relaxed
120  :  123  ->  Nothing
123  :  128  ->  Left
128  :  130  ->  Relaxed
130  :  133  ->  Nothing
133  :  138  ->  Left
138  :  140  ->  Relaxed
140  :  143  ->  Nothing
143  :  148  ->  Right
148  :  150  ->  Relaxed
150  :  153  ->  Nothing
153  :  158  ->  Left
158  :  160  ->  Relaxed
160  :  163  ->  Nothing
163  :  168  ->  Left
168  :  170  ->  Relaxed
170  :  173  ->  Nothing
173  :  178  ->  Right
178  :  180  ->  Relaxed
180  :  183  ->  Nothing
183  :  188  ->  Right
188  :  190  ->  Relaxed
190  :  193  ->  Nothing
193  :  198  ->  Left
198  :  200  ->  Relaxed
